姓名 性别 年龄 身高 体重 省份 党派 消费 有无男/女朋友 是否打游戏
陈天坤 男 21 1.8945255013345994 180.07863968105073 江西 共青团员 1892 有 玩
莫月琴 女 19 1.647700284404354 126.45891208184872 澳门 共青团员 262 没有 不玩
韩妮娜 女 21 1.8392805389272808 150.65243640403997 青海 其他党派 309 有 玩
童梦瑶 女 19 1.817171364601287 111.99821024936873 湖南 群众 1914 没有 不玩
于家斌 男 22 1.851205900204264 80.49253587843646 湖南 共青团员 1406 没有 不玩
陈有水 男 18 1.51451937781217 123.0031113574403 台湾 中共党员 289 没有 不玩
姬冬 女 19 1.9259180293119178 107.63814041070015 山西 群众 1028 有 玩
吕福良 男 19 1.565783445238287 188.268397313182 宁夏 其他党派 192 有 玩
黄钰淇 女 19 1.9717505198575793 147.86695841677607 黑龙江 群众 713 没有 不玩
徐佳超 男 18 1.6806593826490808 170.79325080113597 西藏 其他党派 659 没有 不玩
宋云凤 女 20 1.5161181792645446 71.93306894407577 新疆 群众 1375 有 玩
赵慧芬 女 22 1.9162708467822145 177.7977513885501 河北 其他党派 1564 有 玩
刘长青 男 22 1.8542898643012398 184.0020581884059 安徽 群众 675 没有 不玩
彭锋 男 22 1.7851440433629602 138.70185306453862 湖北 群众 483 没有 不玩
李作连 女 19 1.8939173867413501 106.98812499769159 台湾 共青团员 201 没有 不玩
陈大丹 女 21 1.8234108501605364 77.02190960463057 陕西 群众 1446 有 玩
段魁 男 20 1.88648064929104 96.34897921529179 河北 共青团员 324 没有 不玩
王伟婵 女 18 1.8746836205101407 144.32508367195305 江苏 中共党员 1330 有 玩
杜雨臻 女 19 1.601023371998878 127.85167552642616 河北 群众 129 没有 不玩
邵桂芳 女 21 1.9661947899948875 115.8431541480812 青海 共青团员 1555 有 玩
黄敏东 男 20 1.5277612280450392 179.84863536430169 澳门 群众 1360 有 玩
李冰然 女 18 1.6195734431531925 126.94058053061424 湖北 共青团员 1296 有 玩
宋法亮 男 21 1.6212070703449246 152.49797909430748 甘肃 群众 1808 有 玩
李正江 男 21 1.7977832824642739 129.45716784612802 福建 群众 1867 没有 不玩
徐寄遥 女 21 1.837060189953862 167.22790781474822 河北 共青团员 846 有 玩
匡悦 女 19 1.5301053132448912 85.99243048607154 山西 其他党派 654 没有 不玩
杨青艳 女 20 1.8165490370910204 141.94734654365047 重庆 群众 1704 没有 不玩
郭咏梅 女 18 1.7624495060171792 190.78366494886257 广西 共青团员 1659 没有 不玩
陈仕川 男 20 1.8672719322283378 106.79348155047818 台湾 共青团员 126 有 玩
何海勇 男 21 1.5929337848171505 198.9269752008536 海南 群众 1145 有 玩
米晓阳 男 20 1.6945992404020052 171.43991945148161 广东 中共党员 598 没有 不玩
邢震 男 20 1.9839199864128758 161.39437836022995 宁夏 群众 1405 有 玩
徐世哲 男 20 1.8452871505282502 132.72337148311652 黑龙江 共青团员 233 没有 不玩
张广奎 男 20 1.644695558455772 142.2905561017117 贵州 其他党派 1640 没有 不玩
滕明静 女 20 1.725483231709318 143.83215937796425 山西 共青团员 1401 没有 不玩
范玉婷 女 20 1.7874352293414792 85.09709827658011 内蒙古 中共党员 826 没有 不玩
刘如山 男 22 1.5444945157200567 135.68327776402754 香港 其他党派 1765 没有 不玩
杜成文 男 19 1.7473684516878893 114.4785262679199 甘肃 中共党员 1294 有 玩
袁炳强 男 21 1.6609357566334315 158.50230465547196 西藏 群众 945 有 玩
许容容 女 18 1.7950375721904992 154.4238956558077 山东 共青团员 1032 有 玩
胡梦 女 19 1.8682060390716502 75.59252090026861 四川 共青团员 113 有 玩
黄淑汝 女 18 1.643721114570331 88.6264638345699 台湾 共青团员 1943 没有 不玩
凌慕华 女 22 1.8072581455773538 107.66369351942947 广西 群众 397 没有 不玩
王鸣皋 男 19 1.7524901749029738 81.7430634082196 重庆 群众 1298 有 玩
战鸽 女 19 1.9857693012812698 133.79632824561787 甘肃 中共党员 935 没有 不玩
郭莉杰 女 18 1.880229152303128 97.73796518210523 江西 群众 1596 没有 不玩
娄海韬 男 19 1.5089399974176168 184.81656365439042 内蒙古 中共党员 1432 有 玩
粟愿 男 22 1.7703633323778725 190.43209661068755 香港 其他党派 1738 有 玩
金银树 男 21 1.8430842016996056 176.61646264765474 香港 群众 1370 有 玩
白艳春 女 18 1.7019313807113396 151.67159124646258 宁夏 群众 1220 有 玩
王丽凌 女 21 1.6974581778313318 180.25507132494576 黑龙江 其他党派 713 有 玩
李中田 男 21 1.569852191786546 95.09537526157632 江苏 群众 880 没有 不玩
熊娟萍 女 20 1.6632861158245784 192.76891799228247 青海 群众 566 有 玩
周世博 男 21 1.6848116043022912 120.57477453777034 山西 群众 698 有 玩
施国隆 男 19 1.9604709955605992 124.1734219215064 四川 共青团员 628 有 玩
南立功 男 19 1.7499311579010723 123.46448049712839 河北 其他党派 224 有 玩
张海艺 女 22 1.5326994807685834 144.84843258728 云南 中共党员 1125 有 玩
林振民 男 21 1.5842651401098469 116.2050788026651 湖北 共青团员 1874 没有 不玩
陈宇威 男 20 1.8001008919489103 127.23240540339954 西藏 共青团员 1878 有 玩
晏斯盛 男 18 1.8761976753549008 78.76951514841319 河北 共青团员 1199 有 玩
翁清芳 女 19 1.6187871568207723 198.9083491835947 西藏 群众 1565 没有 不玩
萧芳芳 女 18 1.7395282587233583 102.77313457524615 海南 中共党员 615 没有 不玩
杨凯胜 男 20 1.6363404387420626 168.4604791147683 香港 中共党员 1507 没有 不玩
冯建超 男 18 1.7392350869028206 107.94903300900997 福建 中共党员 1241 没有 不玩
刘老妹 女 21 1.9850093030766387 121.23202953100372 天津 其他党派 1691 没有 不玩
张晓田 男 19 1.521701025897358 115.67625971999239 河北 群众 362 有 玩
谷思 女 19 1.9109188530293617 143.2897815408888 上海 其他党派 1872 没有 不玩
向宏军 男 19 1.8728549102012675 188.9889841389899 山东 中共党员 1646 没有 不玩
吴学香 女 19 1.8303382473422984 179.12754059642367 江苏 中共党员 601 有 玩
余建东 男 21 1.5743029681409417 85.2920250286229 海南 其他党派 1460 没有 不玩
尹菁菁 女 19 1.6116685522221776 144.81848833970244 重庆 其他党派 1227 有 玩
刘淑娇 女 20 1.9315075267635047 132.08585364903246 黑龙江 其他党派 275 有 玩
燕情 女 21 1.9663385756186675 150.75211884541022 湖南 共青团员 1743 有 玩
丁筱平 女 18 1.6697650718392736 136.81186580426296 吉林 共青团员 695 有 玩
宛城 男 22 1.500791396756745 80.55116158343576 陕西 群众 1038 有 玩
窦晓萍 女 18 1.9421627062044498 176.7580168126703 广西 其他党派 1414 没有 不玩
黄玉贞 女 22 1.6115898627431637 112.52568691780357 福建 其他党派 181 有 玩
韦秀明 女 20 1.9101869262683184 88.81933735733726 安徽 其他党派 688 有 玩
刘安凤 女 19 1.5760069560720162 155.10664551919302 上海 中共党员 794 没有 不玩
蒲正国 男 20 1.9050017278735911 143.83236566156285 江苏 群众 775 有 玩
碧光 男 18 1.6340515476916528 154.90929803198134 浙江 共青团员 460 没有 不玩
王国法 男 22 1.6610882118082073 192.8221300756251 广东 群众 297 有 玩
潘泉 男 20 1.604541943761038 143.85728562902307 重庆 中共党员 446 有 玩
徐治军 男 22 1.6291034046926394 84.93514366131535 福建 其他党派 725 有 玩
郑萍娟 女 20 1.6797468062442704 105.37650488821276 安徽 中共党员 161 没有 不玩
冯雅琼 女 20 1.6127791296429743 125.03007818186919 山西 其他党派 162 有 玩
杨志凤 女 18 1.5031373584369492 142.47484412437439 广西 其他党派 1990 有 玩
范少博 男 19 1.5658739328644153 151.66965693093687 山东 中共党员 273 有 玩
耿鹏飞 男 22 1.8741325786962384 101.73657436080657 青海 群众 1375 有 玩
焦璇 女 21 1.9916179735067274 88.99485987708177 内蒙古 其他党派 376 没有 不玩
刘洪岩 男 21 1.9001675015154 74.66599076858678 福建 共青团员 954 有 玩
邝光华 男 21 1.9407103069598977 181.87458452605983 广东 共青团员 412 没有 不玩
高固 男 20 1.8990068554809625 77.2915381938024 福建 群众 255 没有 不玩
朱剑琼 女 22 1.5640446290968657 90.03862062686841 天津 群众 1474 没有 不玩
张先昌 男 20 1.5367418842599623 127.80279261876316 上海 共青团员 499 没有 不玩
冯亚宁 女 18 1.7876262393876003 128.75618324909368 四川 共青团员 212 有 玩
叶爱兰 女 22 1.5322781382463886 105.22653416855029 天津 中共党员 967 没有 不玩
温斌生 男 22 1.56857757842089 173.07030500850277 辽宁 中共党员 1772 有 玩
于玲玉 女 20 1.94773454856927 197.40729317015763 北京 中共党员 659 没有 不玩
吴岚 女 19 1.5755354920052562 170.4824029810374 广东 群众 1941 有 玩
段建林 男 19 1.901216893997671 197.1749938224055 黑龙江 共青团员 1831 有 玩
孟惠英 女 21 1.9201482799565834 157.0370673982905 宁夏 其他党派 1835 没有 不玩
阎庆国 男 19 1.8022679058291364 160.63917690283847 天津 共青团员 1780 没有 不玩
邓帮华 男 21 1.6001922748499298 159.04108306908586 福建 群众 627 没有 不玩
郭慧民 男 18 1.5181753296295604 116.41141799420458 新疆 中共党员 1036 没有 不玩
曾育成 男 22 1.5159821026245828 157.12253569206604 福建 其他党派 1350 有 玩
高顺龙 男 22 1.7550558641342018 179.01887835830797 河北 群众 1592 没有 不玩
艾雪 女 20 1.8189223184158654 181.28993310837237 贵州 中共党员 1542 有 玩
赵剑涛 男 21 1.6755176057943815 133.4391363419132 天津 其他党派 1845 没有 不玩
林其忠 男 22 1.8505995942662201 158.17207973492367 广东 共青团员 1442 没有 不玩
郭家丽 女 18 1.7675659299730486 165.02670881100101 甘肃 群众 1056 有 玩
田兆富 男 20 1.704709205779324 165.05162666741572 天津 共青团员 133 没有 不玩
肖丽燕 女 19 1.8384419354746575 125.42177757518046 西藏 共青团员 1912 没有 不玩
潘文翔 男 22 1.6923528021034575 140.3956107979933 湖北 共青团员 1348 没有 不玩
李炎锋 男 18 1.5596865794536805 85.83772965098454 湖南 群众 1324 有 玩
李巧红 女 21 1.9185442477156278 112.16745832381737 青海 其他党派 751 没有 不玩
郑红根 男 19 1.7776866699052134 165.30537657820594 澳门 中共党员 1961 有 玩
周兴菊 女 19 1.728514438887892 150.89640158576765 四川 中共党员 1892 有 玩
龚楚 女 18 1.964088259094504 190.10763053204641 海南 共青团员 121 有 玩
张健梅 女 19 1.5195522374685084 153.79916296303156 上海 中共党员 189 没有 不玩
周世进 男 18 1.6809572906486436 190.33742462229722 河南 群众 1178 有 玩
任珍珍 女 18 1.8462931729572865 121.47369156837337 山西 其他党派 894 没有 不玩
吕占峰 男 21 1.565106036875886 84.38541660603335 河南 群众 906 没有 不玩
段霓英 女 19 1.9912340847014374 73.06992823390802 江西 群众 1256 没有 不玩
廖丽英 女 20 1.987481720940825 98.36405050981702 吉林 中共党员 980 有 玩
杨旺生 男 21 1.6241654926739846 122.42519811128676 云南 群众 1051 有 玩
雷婉莉 女 18 1.7399937504118497 73.33064592664788 吉林 其他党派 1986 有 玩
韦劲 男 18 1.8442417364669923 162.7433025035279 山东 中共党员 1032 有 玩
赵利华 女 18 1.8314078923556596 183.95717082902243 山西 群众 189 没有 不玩
乔瑞萍 女 22 1.8634060040686466 93.42084505348109 青海 共青团员 1702 有 玩
闫会芳 女 22 1.7759133584584212 76.85198901673348 福建 共青团员 541 没有 不玩
尹延强 男 21 1.8695891515011664 70.3030947750222 上海 其他党派 1534 没有 不玩
付晓刚 男 22 1.540188726855255 195.33248695750535 上海 共青团员 834 有 玩
郑荣梅 女 18 1.6346701359622027 173.0006244696607 浙江 中共党员 1662 有 玩
覃豪 男 19 1.6780883000940507 118.94079704780948 黑龙江 其他党派 259 没有 不玩
谢建志 男 22 1.7776595062135385 70.47016111719594 黑龙江 共青团员 720 有 玩
许继文 男 22 1.6346867977429218 74.97900694919977 广东 其他党派 773 没有 不玩
贺俊锋 男 18 1.97279266308693 91.97978737648644 河北 其他党派 1744 没有 不玩
贾震 男 22 1.6776077280034305 99.14276795297624 辽宁 共青团员 572 有 玩
余华平 男 19 1.618695776049642 127.21248281857751 江西 群众 858 有 玩
俞远 男 21 1.608149980147978 75.88881355829174 浙江 群众 1850 没有 不玩
厉双双 女 21 1.679444628271483 93.07409609041503 江西 群众 1800 没有 不玩
宋振永 男 18 1.9807571528348409 122.98977251619226 河南 中共党员 1688 有 玩
夏新炯 男 20 1.974718983381063 169.96926246822915 新疆 群众 1932 没有 不玩
丁卯 男 20 1.9494665569347274 129.87913740266606 吉林 其他党派 1835 有 玩
幸微 女 20 1.5555044428260763 110.61353679544484 山东 其他党派 1762 没有 不玩
陈利中 男 20 1.7922141283107154 189.88458118396193 贵州 其他党派 1715 没有 不玩
尹言 男 18 1.9095539276410758 138.56431222496047 台湾 共青团员 1694 没有 不玩
王鸿勇 男 22 1.607552113524901 175.10212066428136 河南 中共党员 1854 有 玩
金华婷 女 19 1.571212027289125 152.29748051387276 宁夏 共青团员 1930 有 玩
刘继扬 男 20 1.6975545673593486 118.8908853917861 甘肃 共青团员 690 有 玩
易永贵 男 18 1.782621461055312 94.92461604754544 河北 中共党员 581 有 玩
田中生 男 19 1.7619968814234237 166.83049244047467 吉林 群众 675 没有 不玩
方欣然 女 22 1.7810545418033552 193.20984807534361 山西 群众 1922 没有 不玩
谢银超 男 21 1.6986930691190893 139.75391491979292 福建 其他党派 942 有 玩
肖军峰 男 20 1.841556771694453 197.06530679890855 辽宁 群众 556 没有 不玩
赵宏霞 女 19 1.5009787886095378 127.58301856478843 重庆 群众 480 有 玩
吕锡生 男 18 1.6151306719416123 117.43902897304537 北京 其他党派 1351 没有 不玩
王旭星 男 22 1.6876002257894611 109.94375382017597 西藏 群众 1529 没有 不玩
秦治勇 男 21 1.8268634645794224 74.8539599314392 宁夏 共青团员 706 有 玩
毛淑英 女 21 1.689733195085998 123.19002762148938 澳门 群众 1095 有 玩
丁寿勇 男 18 1.5332962411914526 189.72556144604067 内蒙古 群众 1222 没有 不玩
张立哲 男 22 1.9752703962558504 191.08262906760342 贵州 群众 854 没有 不玩
李起鸿 男 22 1.776178964880781 102.97378988265817 天津 群众 631 有 玩
徐大江 男 18 1.9973624463398807 121.99561934478206 安徽 中共党员 331 没有 不玩
王爵 男 18 1.7930959627945766 143.10711894301187 宁夏 群众 690 没有 不玩
万素芳 女 21 1.930101331562342 196.31547730422346 内蒙古 共青团员 169 有 玩
冯德军 男 20 1.576393444533329 136.15390558436135 山东 其他党派 1652 没有 不玩
傅永珍 女 18 1.5229458213240479 124.14374858427259 天津 其他党派 1185 有 玩
吴玉燕 女 18 1.7742484362296236 167.27958886097963 山东 其他党派 1588 有 玩
俞永华 男 22 1.9927114096239318 191.86393893457733 青海 其他党派 173 没有 不玩
于广水 男 18 1.8104270100024156 121.0828233086174 江苏 中共党员 142 有 玩
郑芒 女 18 1.7588687386464215 92.38080254216965 青海 其他党派 1698 没有 不玩
苏中兴 男 19 1.6660121269028707 101.86832400339779 湖北 共青团员 899 没有 不玩
杨继良 男 19 1.6381053684643743 100.92697198272226 陕西 共青团员 165 没有 不玩
沈宝莲 女 18 1.9064606947573148 162.84706687893936 甘肃 中共党员 1682 有 玩
罗家齐 男 18 1.5715877564278649 97.62449996590335 北京 中共党员 700 没有 不玩
谢丽花 女 21 1.9617398033167355 117.54106138436552 山东 共青团员 1190 没有 不玩
胡晓英 女 22 1.9510826863042952 195.2125186696482 贵州 其他党派 1004 有 玩
胡天珍 女 21 1.8856588288915077 115.62595878040236 云南 其他党派 131 没有 不玩
吴晓杰 男 21 1.8548872489697827 71.51719991913046 山西 群众 621 有 玩
莫怀仁 男 21 1.683299242182862 175.70170722757922 上海 其他党派 562 没有 不玩
王机 男 18 1.7664707213645068 103.22454838561562 宁夏 共青团员 617 有 玩
樊祥国 男 18 1.9018746766218384 77.89903175474828 江西 中共党员 377 有 玩
薄纯娟 女 18 1.5204001140035899 111.69375555257528 重庆 群众 1666 没有 不玩
裴静 女 22 1.5166291948312216 138.7173428368228 四川 中共党员 432 有 玩
徐无 男 20 1.5434454653803635 185.09288458386726 澳门 中共党员 1953 有 玩
常白 女 20 1.8464274390753748 158.9381840920982 四川 共青团员 809 没有 不玩
张桂强 男 22 1.887674262078218 146.07387978068965 山东 其他党派 1862 有 玩
王利强 男 20 1.6397884314454076 150.14638072011473 湖北 群众 1087 没有 不玩
俞宏峰 男 21 1.9630978433552009 144.7121020145134 辽宁 群众 164 没有 不玩
陈其安 男 21 1.987801439531053 189.7861471845917 四川 群众 1141 没有 不玩
马天豪 男 19 1.7075998691381034 100.54665007339321 内蒙古 其他党派 1166 没有 不玩
李澄波 男 19 1.717987203918597 172.00824456204577 黑龙江 群众 490 没有 不玩
吴礼强 男 21 1.506112752666895 86.90971615678924 吉林 共青团员 1840 没有 不玩
白敬周 男 21 1.8709647162161165 170.21927950702138 陕西 中共党员 1755 没有 不玩
孔祥革 男 22 1.5194375910226632 103.85206134645355 西藏 群众 1086 有 玩
赵廷翰 男 21 1.5713607061275965 157.80317764778465 甘肃 群众 1533 有 玩
江忆南 女 20 1.8920048444680584 175.95086011530393 甘肃 中共党员 494 有 玩
蔡陈娟 女 18 1.51089819478555 123.23037586167183 上海 其他党派 1065 没有 不玩
马书敏 女 22 1.7633378326944873 87.18372655288488 山西 群众 1201 有 玩
黄诗媛 女 19 1.85126918666802 112.70388723265552 海南 其他党派 1071 有 玩
周长法 男 22 1.7829236876360226 188.4689303273295 江西 群众 1749 没有 不玩
石燕蓉 女 20 1.8514280258441704 161.9520467525054 黑龙江 其他党派 632 没有 不玩
蒋祖烜 男 22 1.9502969032423993 176.95978675620222 上海 共青团员 1651 没有 不玩
朱英海 男 19 1.6678701323487124 129.55323612178603 湖南 群众 1867 没有 不玩
彭曼君 女 20 1.6675683132347445 186.4047800818682 香港 共青团员 1764 没有 不玩
黄晓达 男 19 1.945321153671229 71.69940812815236 重庆 中共党员 450 没有 不玩
刘来喜 男 21 1.910515028722194 157.24409925547866 甘肃 其他党派 690 有 玩
葛振华 男 21 1.5545855873955445 78.9933654563878 北京 中共党员 670 有 玩
封启明 男 21 1.5848954642059778 115.46612299003436 湖南 群众 627 有 玩
宋淑卿 女 19 1.9831968750982139 145.9669004849282 宁夏 中共党员 1437 没有 不玩
焦少辉 男 22 1.677668413774815 164.60469295457335 湖南 中共党员 396 有 玩
廖凯原 男 21 1.6888355067737317 113.5577269587074 四川 群众 1412 没有 不玩
郭天清 男 19 1.5019269316247277 170.88232454572852 河南 群众 821 有 玩
李金水 男 19 1.7347868989294901 146.89631954306935 上海 共青团员 807 没有 不玩
蔡长泰 男 21 1.6573574688818709 157.69139955533313 云南 中共党员 979 有 玩
郭书瑶 女 19 1.5238401361520604 189.3144820727702 海南 其他党派 213 有 玩
周爱荣 女 18 1.9242083946408037 124.12016243075577 广东 共青团员 124 没有 不玩
陈丽雯 女 19 1.650614133617517 93.89964397193458 山东 群众 1497 有 玩
立理 男 20 1.5594300467553324 184.83680510571511 浙江 共青团员 884 有 玩
袁祥彬 男 19 1.632809826016699 85.18118448429902 广西 共青团员 827 有 玩
苏振伟 男 19 1.9194509220746032 176.29981455613535 安徽 中共党员 581 没有 不玩
唐建玲 女 22 1.985523375594326 94.85254140443723 宁夏 中共党员 517 没有 不玩
刘一松 男 21 1.8530521495739931 166.47829261988974 吉林 群众 811 没有 不玩
宋军华 男 21 1.9072333329079538 180.388765677785 辽宁 其他党派 1241 没有 不玩
戴云洁 女 22 1.709148004450233 162.96868202799772 浙江 群众 949 没有 不玩
刘书谦 男 19 1.6886771470474151 105.1771452793432 天津 其他党派 1230 没有 不玩
张雅蓉 女 18 1.540437731257446 140.54128795339116 辽宁 其他党派 1873 没有 不玩
范铃铃 女 21 1.5981651178189042 110.00676877472918 青海 共青团员 1572 没有 不玩
孙增良 男 18 1.6685488322827204 137.5260099614269 陕西 其他党派 1256 没有 不玩
张根迷 女 21 1.5137186012866797 124.63079370496322 重庆 共青团员 128 有 玩
朱巍峰 男 19 1.7251257985113466 105.51853025847885 重庆 中共党员 559 有 玩
吕梦林 女 22 1.5900722518553965 102.2692561009489 北京 共青团员 1342 有 玩
秦秀华 女 18 1.8608424544567796 110.35808316452844 内蒙古 群众 1130 没有 不玩
叶思芳 女 19 1.8568970534082478 192.92944522404463 江西 共青团员 1724 有 玩
黄嘉儿 女 18 1.8306128895160734 74.38530741992714 贵州 群众 1257 有 玩
黄龙坝 男 18 1.8890376202365406 174.09643014536596 浙江 其他党派 195 没有 不玩
陈荆州 男 21 1.9598798930215848 105.6477690481573 上海 群众 1246 没有 不玩
黄妙娟 女 21 1.7646190868216944 98.67490699885055 河北 群众 1102 没有 不玩
廖兴旺 男 22 1.628752174093245 156.34272527705232 江西 群众 1037 有 玩
范旭峰 男 18 1.792358734854116 174.28928731155537 天津 其他党派 1780 没有 不玩
王育艳 女 18 1.7004246281587923 193.14823596738728 吉林 共青团员 684 有 玩
玉昌 男 22 1.8737879592278404 142.36419630646876 澳门 其他党派 1774 没有 不玩
顾安东 男 19 1.6146751123380358 87.39105036560628 河南 共青团员 1076 没有 不玩
刘献礼 男 20 1.7310913133389705 103.62531730095643 海南 其他党派 1569 有 玩
赵素芹 女 20 1.9296161193891233 132.23895831997024 河南 中共党员 583 没有 不玩
邹振义 男 20 1.9990838926557584 84.24665700349891 浙江 群众 1231 有 玩
刘本银 男 21 1.9490469410041666 121.97331335304895 青海 共青团员 1290 没有 不玩
陈慧芳 女 18 1.7445370458019533 117.78707294322129 浙江 中共党员 612 没有 不玩
吕瑞瑞 男 18 1.6081642221338035 148.91350129970465 澳门 其他党派 1913 有 玩
郑泽云 男 20 1.779575852131083 70.01672341351232 海南 群众 127 没有 不玩
韩眉 女 20 1.694991491770847 181.83306290873492 河北 共青团员 183 有 玩
肖子强 男 18 1.650989680160246 152.13063879606074 宁夏 共青团员 1218 有 玩
王新建 男 21 1.6953452736008041 90.47460350012443 江西 群众 1234 没有 不玩
陈保青 男 19 1.6731321941737418 151.21307252169333 江苏 共青团员 1898 没有 不玩
华建岳 男 21 1.6927018721347338 191.30207939138512 安徽 中共党员 597 没有 不玩
林义强 男 18 1.8883571941511732 150.73785045437003 山东 其他党派 332 有 玩
王大寨 男 18 1.8976055127934808 171.67044442791345 江西 群众 1735 没有 不玩
陈剑锐 男 21 1.6926818625009752 90.769634996526 河北 共青团员 1147 有 玩
赵文法 男 18 1.7436809027305342 114.76068084818742 青海 共青团员 774 没有 不玩
张世祥 男 22 1.508406958879581 134.439500092937 香港 共青团员 451 没有 不玩
李术燕 女 22 1.7129083784291046 185.0519089144962 海南 共青团员 877 没有 不玩
湛红梅 女 18 1.6548123652668805 192.05307659051005 河北 其他党派 921 没有 不玩
陈付娟 女 19 1.9278177080947283 84.1827291057991 海南 群众 249 没有 不玩
杜松军 男 21 1.502288456648536 102.9363012217697 天津 共青团员 943 有 玩
刘纯清 男 21 1.909237067879916 188.44644617680774 湖南 群众 889 没有 不玩
陶长胜 男 22 1.8027412131177012 102.07570513114197 宁夏 中共党员 1445 没有 不玩
李春健 男 22 1.6221313719870298 150.96999129932152 贵州 共青团员 1171 没有 不玩
石怀明 男 18 1.6541603475691102 183.37726935062258 贵州 群众 757 没有 不玩
陈政良 男 22 1.7608787233212224 98.95156556018222 福建 其他党派 1815 有 玩
陈瑾怡 女 18 1.6429118127344533 110.3040267672504 湖北 群众 1677 有 玩
何芷莹 女 22 1.5329905017727237 120.82665093084606 浙江 群众 1374 有 玩
林治荣 男 22 1.6336750955103356 87.97084147320749 江西 群众 1612 没有 不玩
徐骏杰 男 22 1.7659443694195547 73.74817323691246 重庆 共青团员 665 有 玩
邹盈盈 女 21 1.727641515178395 148.97956839349808 黑龙江 共青团员 1519 有 玩
吴进兴 男 21 1.7893317742140198 177.70340481666796 内蒙古 共青团员 197 没有 不玩
钟惠强 男 22 1.616773802117795 123.32364543932502 河南 中共党员 1404 没有 不玩
秦晓 女 19 1.521066700700314 139.77916773328354 广西 中共党员 1368 有 玩
王晴雯 女 18 1.8059796288088756 96.5254539124543 云南 共青团员 1914 有 玩
羊仁安 男 22 1.8046658235738318 183.66770763012772 湖南 共青团员 1773 没有 不玩
任建坤 男 18 1.9353199286573242 119.44782144425571 新疆 共青团员 735 没有 不玩
赵克刚 男 22 1.6277153948200511 129.4259880734891 香港 其他党派 1187 有 玩
尹诗祥 男 18 1.9474658522530022 95.37903674248412 江苏 其他党派 1842 没有 不玩
任志国 男 21 1.8823186400778138 124.78029171445675 辽宁 群众 1862 没有 不玩
汪奇 男 20 1.9681312324173073 70.59676431944851 浙江 群众 662 有 玩
雷麟 男 22 1.5851733042708653 185.80214906087994 海南 群众 1399 有 玩
周惠英 女 22 1.8246541100409543 132.6854186884005 贵州 群众 1420 有 玩
俞春明 男 21 1.5469914260559547 193.40056831225948 浙江 共青团员 872 没有 不玩
罗振荣 男 20 1.5559399312126376 176.90509991123727 湖南 中共党员 180 有 玩
徐延英 女 19 1.8432800161449008 196.51871258823462 四川 共青团员 1493 有 玩
王津元 男 18 1.6532500407919208 189.22439284481092 北京 共青团员 1875 没有 不玩
刘世昆 男 21 1.832145618989542 74.32150392000722 山东 共青团员 1999 没有 不玩
赵炬明 男 18 1.5798563044493186 162.09064923426462 福建 其他党派 1299 有 玩
